RepRapFirmware height map file v2 generated at 2021-10-16 22:17, min error -0.173, max error 0.320, mean 0.072, deviation 0.138
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,10.00,180.00,10.00,210.00,-1.00,40.00,40.00,5,6
 -0.072,  0.050,  0.075,  0.148,  0.235
 -0.173, -0.072,  0.018,  0.115,  0.217
 -0.165, -0.067,  0.035,  0.130,  0.237
 -0.173, -0.058,  0.053,  0.153,  0.267
 -0.085,  0.000,  0.082,  0.185,  0.272
  0.003,  0.075,  0.140,  0.230,  0.320
